,playlist,names,ids,singers,singerids,albums,Language
0,唔係咁打嘅喜欢的音乐,How Long,509728806,Charlie Puth,90331,Voicenotes,en
1,唔係咁打嘅喜欢的音乐,Uptown Funk,29722263,Mark Ronson,38898,Uptown Funk,en
2,唔係咁打嘅喜欢的音乐,Skin,455653437,Rag'N'Bone Man,1053202,Skin,en
3,唔係咁打嘅喜欢的音乐,Dusk Till Dawn,504265014,ZAYN,1108049,Dusk Till Dawn,en
4,唔係咁打嘅喜欢的音乐,Glitter & Gold,457761477,Barns Courtney,1161189,The Dull Drums,en
5,唔係咁打嘅喜欢的音乐,Dream It Possible,38592976,Delacey,489045,Dream It Possible,en
6,唔係咁打嘅喜欢的音乐,Booty Music,2526625,Deep Side,55350,Git Fresh,en
7,唔係咁打嘅喜欢的音乐,Animals,28987626,Maroon 5,96266,Animals,en
8,唔係咁打嘅喜欢的音乐,Moves Like Jagger,21253966,Maroon 5,96266,Moves Like Jagger,en
9,唔係咁打嘅喜欢的音乐,Maps,28661564,Maroon 5,96266,Maps,en
10,唔係咁打嘅喜欢的音乐,Wannabe,501220770,Why Mona,15008055,Wannabe,en
11,唔係咁打嘅喜欢的音乐,Samsara,33291435,Tungevaag & Raaban,1090022,Mujeres y Hombres y Viceversa: Los Hits del Verano 2015,en
12,唔係咁打嘅喜欢的音乐,Shape of You,451703096,Ed Sheeran,33184,Shape of You,en
13,唔係咁打嘅喜欢的音乐,Don't Let Me Down,402070862,The Chainsmokers,893484,Don't Let Me Down,en
14,唔係咁打嘅喜欢的音乐,This Is the Life,29732659,Angie Miller,756064,Weathered,en
15,唔係咁打嘅喜欢的音乐,I Want My Tears Back,21311956,Nightwish,97516,Imaginaerum,en
16,唔係咁打嘅喜欢的音乐,East of Eden,29009655,Zella Day,900106,East of Eden,en
17,唔係咁打嘅喜欢的音乐,Hall of Fame,19542337,The Script,102028,#3 Deluxe Version,en
18,唔係咁打嘅喜欢的音乐,Without You,496869523,Avicii,45236,AVĪCI (01),en
19,唔係咁打嘅喜欢的音乐,Waiting For Love,31356499,Avicii,45236,Waiting For Love,en
20,唔係咁打嘅喜欢的音乐,Wake Me Up,27713920,Avicii,45236,True,en
21,唔係咁打嘅喜欢的音乐,Waiting For Tremor (COOL BROS Edit),34766855,COOL BROS,1150252,Waiting For Tremor (COOL BROS Edit),en
22,唔係咁打嘅喜欢的音乐,The Nights,29771146,Avicii,45236,The Days / Nights (EP),en
23,唔係咁打嘅喜欢的音乐,Lonely Together,496869520,Avicii,45236,AVĪCI (01),en
24,唔係咁打嘅喜欢的音乐,Waiting for Love,32196550,Avicii,45236,Waiting for Love,en
25,唔係咁打嘅喜欢的音乐,Die Young,25704014,Kesha,63901,Die Young,en
26,唔係咁打嘅喜欢的音乐,Free Loop (Vocal Up Version),17271180,Daniel Powter,31187,Free Loop,en
27,唔係咁打嘅喜欢的音乐,We Found Love,3313334,Rihanna,72724,We Found Love (The Remixes),en
28,唔係咁打嘅喜欢的音乐,Bang Bang,28850212,Jessie J,62662,Bang Bang,en
29,唔係咁打嘅喜欢的音乐,Me and You,4160632,Lucky Twice,95589,Young & Clever,en
30,唔係咁打嘅喜欢的音乐,Worth It,30212890,Fifth Harmony,794152,Reflection,en
31,唔係咁打嘅喜欢的音乐,FRIENDS,535024262,Marshmello,1060019,FRIENDS,en
32,唔係咁打嘅喜欢的音乐,Alone,412785957,Marshmello,1060019,Alone,en
33,唔係咁打嘅喜欢的音乐,Always Getting Over You,2118992,Angela Ammons,46511,Angela Ammons,en
34,唔係咁打嘅喜欢的音乐,Oops,441491080,Little Mix,96072,Glory Days (Deluxe Concert Film Edition),en
35,唔係咁打嘅喜欢的音乐,I Am You,2919622,Kim Taylor,63943,I Am You,en
36,唔係咁打嘅喜欢的音乐,There For You,480426313,Martin Garrix,780003,There For You,en
37,唔係咁打嘅喜欢的音乐,See You Again,30953009,Wiz Khalifa,46006,Furious 7: Original Motion Picture Soundtrack (Deluxe),en
38,唔係咁打嘅喜欢的音乐,Seve,30394891,Tez Cadey,488571,Seve,en
39,唔係咁打嘅喜欢的音乐,Legends Never Die,506196018,Against the Current,783418,Legends Never Die,en
40,唔係咁打嘅喜欢的音乐,Despacito (Remix),472361096,Luis Fonsi,38154,Despacito (Remix),en
41,唔係咁打嘅喜欢的音乐,Please Don't Go,37653063,Joel Adams,1188100,Please Don't Go,en
42,唔係咁打嘅喜欢的音乐,Swagger (Original Mix),512296051,OMFG,33609515,Swagger,en
43,唔係咁打嘅喜欢的音乐,Five More Hours,30830919,Deorro,366358,Five More Hours (Deorro x Chris Brown),en
44,唔係咁打嘅喜欢的音乐,Flower Dance,406238,DJ Okawari,13950,A Cup Of Coffee,en
45,唔係咁打嘅喜欢的音乐,It Ain't Me,460043372,Kygo,844410,It Ain't Me,en
46,唔係咁打嘅喜欢的音乐,Whistle,17793698,Flo Rida,56783,Whistle,en
47,唔係咁打嘅喜欢的音乐,DJ Got Us Fallin' In Love,24300493,Usher,45564,Now That's What I Call Music! 77,en
48,唔係咁打嘅喜欢的音乐,Here With You,27583305,Asher Monroe,28727,Here With You,en
49,唔係咁打嘅喜欢的音乐,Five Hours,28263911,Deorro,366358,Five Hours,en
50,唔係咁打嘅喜欢的音乐,Happy,32639048,Dogena,1049091,Happy,en
51,唔係咁打嘅喜欢的音乐,Lighters,1297483,Eminem,32665,Marshall Carter,en
52,唔係咁打嘅喜欢的音乐,Hope (Original Mix),28921655,Tobu,964486,Hope,en
53,唔係咁打嘅喜欢的音乐,Nevada,418602088,Vicetone,747030,Nevada,en
54,唔係咁打嘅喜欢的音乐,Windfall,29774609,TheFatRat,1019952,Windfall,en
55,唔係咁打嘅喜欢的音乐,Energy Drink,27542857,Virtual Riot,813244,Energy Drink,en
56,唔係咁打嘅喜欢的音乐,Lucky Strike,21253809,Maroon 5,96266,Overexposed (Deluxe Version),en
57,唔係咁打嘅喜欢的音乐,Don't Wanna Know,461544126,Maroon 5,96266,BRIT Awards 2017,en
58,唔係咁打嘅喜欢的音乐,One More Night,21253806,Maroon 5,96266,Overexposed (Deluxe Version),en
59,唔係咁打嘅喜欢的音乐,Payphone,4172700,Maroon 5,96266,Payphone,en
60,唔係咁打嘅喜欢的音乐,Sugar,29019227,Maroon 5,96266,V,en
61,唔係咁打嘅喜欢的音乐,Counting Stars,26060065,OneRepublic,98105,Native (Deluxe Version),en
62,唔係咁打嘅喜欢的音乐,Secrets,20200923,OneRepublic,98105,Secrets,en
63,唔係咁打嘅喜欢的音乐,Stranger Things (Alan Walker Remix),536243886,Kygo,844410,Kids in Love (Remixes),en
64,唔係咁打嘅喜欢的音乐,Love Runs Out,28406990,OneRepublic,98105,Love Runs Out,en
65,唔係咁打嘅喜欢的音乐,Call Me Maybe,17112299,Carly Rae Jepsen,50934,Call Me Maybe,en
66,唔係咁打嘅喜欢的音乐,Vagrant,34613621,Feint,93062,Vagrant,en
67,唔係咁打嘅喜欢的音乐,I Really Like You,30841076,Carly Rae Jepsen,50934,I Really Like You,en
68,唔係咁打嘅喜欢的音乐,After the Afterparty,437605840,Charli XCX,53092,After the Afterparty,en
69,唔係咁打嘅喜欢的音乐,What Do You Mean?,34228719,Justin Bieber,35531,What Do You Mean?,en
70,唔係咁打嘅喜欢的音乐,2U (feat. Justin Bieber),482988471,David Guetta,31211,2U (feat. Justin Bieber),en
71,唔係咁打嘅喜欢的音乐,My Soul,5308028,July,123825,Time...,en
72,唔係咁打嘅喜欢的音乐,Where is the Love?,26936681,Black Eyed Peas,88146,Grammy Nominees 2004,en
73,唔係咁打嘅喜欢的音乐,Waka Waka (This Time for Africa),3406393,Shakira,74623,Waka Waka (This Time For Africa),en
74,唔係咁打嘅喜欢的音乐,The One Thing,28308689,Shakira,74623,Shakira.,en
75,唔係咁打嘅喜欢的音乐,Perro Fiel,480575052,Shakira,74623,El Dorado,en
76,唔係咁打嘅喜欢的音乐,Something Just Like This,461347998,The Chainsmokers,893484,Something Just Like This,en
77,唔係咁打嘅喜欢的音乐,Hymn For The Weekend [Remix],419594258,Alan Walker,1045123,Hymn For The Weekend [Remix],en
78,唔係咁打嘅喜欢的音乐,Viva La Vida,3986017,Coldplay,89365,Viva La Vida or Death and All His Friends,en
79,唔係咁打嘅喜欢的音乐,Yellow,17177324,Coldplay,89365,Yellow,en
80,唔係咁打嘅喜欢的音乐,A Sky Full of Stars,28528999,Coldplay,89365,Ghost Stories,en
81,唔係咁打嘅喜欢的音乐,21 Guns,18127640,Green Day,93187,21st Century Breakdown (Deluxe Edition),en
82,唔係咁打嘅喜欢的音乐,This Is What You Came For,411314681,Calvin Harris,29968,This Is What You Came For,en
83,唔係咁打嘅喜欢的音乐,Take a Bow,3314177,Rihanna,72724,Good Girl Gone Bad,en
84,唔係咁打嘅喜欢的音乐,Take a bow,5148849,Rihanna,72724,Hitzone 47,en
85,唔係咁打嘅喜欢的音乐,Umbrella,21563094,Rihanna,72724,Good Girl Gone Bad: Reloaded,en
86,唔係咁打嘅喜欢的音乐,Enchanted,1807794,Owl City,40859,Enchanted,en
87,唔係咁打嘅喜欢的音乐,Shots (Broiler Remix),31789010,Imagine Dragons,94779,Shots,en
88,唔係咁打嘅喜欢的音乐,Everybody,18374823,Ingrid Michaelson,60351,Everybody,en
89,唔係咁打嘅喜欢的音乐,Afterlife,28402350,Ingrid Michaelson,60351,Lights Out,en
90,唔係咁打嘅喜欢的音乐,Outside,29561077,Calvin Harris,29968,Motion,en
91,唔係咁打嘅喜欢的音乐,Dirty Sexy Money (feat. Charli XCX & French Montana),516750166,David Guetta,31211,Dirty **** Money (feat. Charli XCX & French Montana),en
92,唔係咁打嘅喜欢的音乐,All We Know,432698441,The Chainsmokers,893484,All We Know,en
93,唔係咁打嘅喜欢的音乐,That's What I Like (Alan Walker Remix),474038112,Bruno Mars,178059,That's What I Like (Alan Walker Remix),en
94,唔係咁打嘅喜欢的音乐,The Wicked Ones,29844516,DOROTHY,1044136,DOROTHY - EP,en
95,唔係咁打嘅喜欢的音乐,Shades Of Grey (DFLV Remix),33789178,DFLV,1086096,Shades Of Grey (DFLV Remix),en
96,唔係咁打嘅喜欢的音乐,Fire,28923579,Gavin DeGraw,33856,Fire,en
97,唔係咁打嘅喜欢的音乐,Blut Im Auge (acoustic version Sagas),29910042,Equilibrium,55529,Rekreatur,en
98,唔係咁打嘅喜欢的音乐,My Dilemma,19192338,Selena Gomez & The Scene,100213,When The Sun Goes Down,en
99,唔係咁打嘅喜欢的音乐,The Day You Went Away,3026369,M2M,66344,The Day You Went Away: The Best of M2M,en
100,唔係咁打嘅喜欢的音乐,Hit and Run,28987151,Lolo,65214,Hit and Run,en
101,唔係咁打嘅喜欢的音乐,The Final Countdown,5111461,Europe,55531,100 Party Hits,en
102,唔係咁打嘅喜欢的音乐,Stupid,3780390,Tone Damli Aaberge,83122,Cocool,en
103,唔係咁打嘅喜欢的音乐,League of Legends Epic Dubstep(LOL Remix),32341324,ThimLife,1046016,最新热歌慢摇98,en
104,唔係咁打嘅喜欢的音乐,Take Me To Your Heart,4173190,Michael Learns To Rock,96269,Take Me to Your Heart,en
105,唔係咁打嘅喜欢的音乐,Hero (feat. Christina Perri),418603096,Cash Cash,50905,"Blood, Sweat & 3 Years",en
106,唔係咁打嘅喜欢的音乐,Ghost (Lost Kings Remix),31245090,Halsey,964321,Room 93: The Remixes,en
