,playlist,names,ids,singers,singerids,albums
0,唔係咁打嘅喜欢的音乐,Close To The Sun,1392141694,TheFatRat,1019952,Close To the Sun
1,唔係咁打嘅喜欢的音乐,Sunday Morning,21253953,Maroon 5,96266,Songs About Jane
2,唔係咁打嘅喜欢的音乐,Hiding In The Blue,1852002829,TheFatRat,1019952,Hiding In The Blue
3,唔係咁打嘅喜欢的音乐,Care,29431219,Hudson Taylor,449395,Osea
4,唔係咁打嘅喜欢的音乐,Beat The Devil's Tattoo,16835619,Black Rebel Motorcycle Club,88172,Beat The Devil's Tattoo
5,唔係咁打嘅喜欢的音乐,让我快乐,1428166904,杨和苏KeyNG,13899303,辩护人
6,唔係咁打嘅喜欢的音乐,带我去找夜生活,1410647903,告五人,12676697,带我去找夜生活
7,唔係咁打嘅喜欢的音乐,California Dreaming,4875911,The Mamas & the Papas,78207,声光回忆
8,唔係咁打嘅喜欢的音乐,Empty Love,1435828582,Lulleaux,1115185,Empty Love (feat. Kid Princess)
9,唔係咁打嘅喜欢的音乐,再见,185726,张震岳,6453,再见
10,唔係咁打嘅喜欢的音乐,Little Do You Know,475597495,Campsite Dream,1146068,Little Do You Know
11,唔係咁打嘅喜欢的音乐,"Whenever, Wherever",3407105,Shakira,74623,Laundry Service
12,唔係咁打嘅喜欢的音乐,Forever Young,526472519,朴树,4721,BTV跨年冰雪盛典
13,唔係咁打嘅喜欢的音乐,New Boy,139371,朴树,4721,我去2000年
14,唔係咁打嘅喜欢的音乐,生如夏花,139357,朴树,4721,生如夏花
15,唔係咁打嘅喜欢的音乐,Light Switch,1913421961,Charlie Puth,90331,Light Switch
16,唔係咁打嘅喜欢的音乐,披星戴月,188376,张敬轩,6462,P.S. I Love You 新歌+精选
17,唔係咁打嘅喜欢的音乐,尘埃落定,28138170,张敬轩,6462,是时候…
18,唔係咁打嘅喜欢的音乐,爱与痛的边缘,299090,王菲,9621,情·菲·得意
19,唔係咁打嘅喜欢的音乐,濛,135325,麦浚龙,4483,Walking Underneath
20,唔係咁打嘅喜欢的音乐,没有人,135334,麦浚龙,4483,Walking Underneath
21,唔係咁打嘅喜欢的音乐,周六夜现场（Saturday night）,1911908484,董唧唧,12760523,周六夜现场（Saturday night）
22,唔係咁打嘅喜欢的音乐,为你我受冷风吹,257098,林忆莲,8336,"Love, Sandy"
23,唔係咁打嘅喜欢的音乐,稀客,316510,杨千嬅,10204,千嬅盛放
24,唔係咁打嘅喜欢的音乐,纵贯线兄弟姐妹,394677,纵贯线,13580,北上列车
25,唔係咁打嘅喜欢的音乐,Everybody Knows I Love You (Unplugged),4152989,Lovebugs,95442,Naked
26,唔係咁打嘅喜欢的音乐,Sober Up,487454612,AJR,88089,The Click
27,唔係咁打嘅喜欢的音乐,Everybody Hates Me,544247523,The Chainsmokers,893484,Everybody Hates Me
28,唔係咁打嘅喜欢的音乐,Victim,1905876104,Vanished,12288138,Victim
29,唔係咁打嘅喜欢的音乐,No One but Me,543237932,WAO,1164040,No One but Me
30,唔係咁打嘅喜欢的音乐,New Dawn Is Rising,1843866037,Stonekeepers,31282752,New Dawn Is Rising
31,唔係咁打嘅喜欢的音乐,Lose Yourself,5052317,Eminem,32665,8 Mile
32,唔係咁打嘅喜欢的音乐,Try,5041667,Asher Monroe,28727,Fame (Original Motion Picture Soundtrack)
33,唔係咁打嘅喜欢的音乐,Try,28639182,Colbie Caillat,50890,Gypsy Heart Side A
34,唔係咁打嘅喜欢的音乐,童话镇Plus,428642306,暗杠,1198010,童话镇Plus
35,唔係咁打嘅喜欢的音乐,白鸽,157092,伍佰 & China Blue,222871,白鸽
36,唔係咁打嘅喜欢的音乐,浪人情歌,157357,伍佰 & China Blue,222871,浪人情歌
37,唔係咁打嘅喜欢的音乐,梦醒时分,156284,伍佰 & China Blue,222871,单程车票
38,唔係咁打嘅喜欢的音乐,突然的自我,156374,伍佰 & China Blue,222871,忘情1015精选辑
39,唔係咁打嘅喜欢的音乐,挪威的森林,157288,伍佰 & China Blue,222871,爱情的尽头
40,唔係咁打嘅喜欢的音乐,泪桥,5265278,伍佰,5354,Wild Day Out 2004 生力 Grand Show Official Album
41,唔係咁打嘅喜欢的音乐,被动(Live),156717,伍佰 & China Blue,222871,爱你伍佰年
42,唔係咁打嘅喜欢的音乐,再度重相逢,156772,伍佰 & China Blue,222871,泪桥
43,唔係咁打嘅喜欢的音乐,Last Dance,157276,伍佰 & China Blue,222871,爱情的尽头
44,唔係咁打嘅喜欢的音乐,晚风,156763,伍佰 & China Blue,222871,泪桥
45,唔係咁打嘅喜欢的音乐,披星戴月的想你,1317457805,告五人,12676697,披星戴月的想你
46,唔係咁打嘅喜欢的音乐,孤勇者,1901371647,陈奕迅,2116,孤勇者
47,唔係咁打嘅喜欢的音乐,一万次悲伤,25706279,逃跑计划,12977,世界
48,唔係咁打嘅喜欢的音乐,逆流时光,30394202,安图声乐队,1049310,ANTU SOUND ROCK
49,唔係咁打嘅喜欢的音乐,恋爱为何物,33984203,李克勤,3699,李克勤 我克勤
